task,solution,unit_score,system_score,gap_pp,status
SQLite,reference,100.00,100.00,0.00,reference_pass
SQLite,codex-subagent-001,87.50,41.67,45.83,core_strong
SQLite,openhands-deepseek-v4-pro-001,93.75,41.67,52.08,core_strong
ZK,reference,100.00,100.00,0.00,reference_pass
ZK,codex-subagent-001,83.33,58.33,25.00,core_strong
ZK,openhands-deepseek-v4-pro-001,83.33,41.67,41.67,core_strong
MiniURLUtils,reference,100.00,100.00,0.00,reference_pass
MiniURLUtils,codex-subagent-001,100.00,70.00,30.00,core_strong
MiniURLUtils,openhands-deepseek-v4-pro-001,100.00,60.00,40.00,core_strong
MiniURLUtils,mini-swe-agent-deepseek-chat-001,88.89,60.00,28.89,core_strong
MiniShell,reference,100.00,100.00,0.00,reference_pass
MiniShell,codex-subagent-001,100.00,100.00,0.00,candidate_reviewed
MiniShell,codex-local-20260623,100.00,100.00,0.00,candidate_reviewed
MiniShell,openhands-deepseek-chat-001,100.00,100.00,0.00,candidate_reviewed
MiniShell,mini-swe-agent-deepseek-chat-001,100.00,91.67,8.33,candidate_reviewed
MiniShell,swe-agent-deepseek-chat-001,68.75,58.33,10.42,candidate_reviewed
MiniShell,doubao-seed-2-0-001,100.00,100.00,0.00,non_core_bare_model
MiniShell,deepseek-v4-pro-001,93.75,66.67,27.08,non_core_bare_model
MiniShell,gpt-5-5-thinking-001,93.75,91.67,2.08,non_core_bare_model
MiniBuildGraph,reference,100.00,100.00,0.00,reference_pass
MiniBuildGraph,codex-subagent-001,100.00,93.75,6.25,candidate_reviewed
MiniBuildGraph,codex-local-20260623,100.00,93.75,6.25,candidate_reviewed
MiniBuildGraph,openhands-deepseek-chat-001,87.50,75.00,12.50,candidate_reviewed
MiniBuildGraph,mini-swe-agent-deepseek-chat-001,93.75,81.25,12.50,candidate_reviewed
MiniBuildGraph,swe-agent-deepseek-chat-001,93.75,81.25,12.50,candidate_reviewed
MiniBuildGraph,doubao-seed-2-0-001,87.50,68.75,18.75,non_core_bare_model
MiniBuildGraph,deepseek-v4-pro-001,87.50,68.75,18.75,non_core_bare_model
MiniBuildGraph,gpt-5-5-thinking-001,100.00,93.75,6.25,non_core_bare_model
